labels,colors
Astro-Epen,#6ec0da
Immune,#aa6dec
OPC-Oligo,#8605d4
Vascular,#cba5ec
F M Glut,#7d0f09
M Dopa,#0433b4
CN MGE GABA,#ce4c27
CN CGE GABA,#26e8bb
F M GABA,#cd0f13
CN LGE GABA,#d0b83c
Cx GABA,#ebb3a7
CN GABA-Glut,#1c8d83
Astrocyte,#604f15
Ependymal,#7f207a
Microglia,#761646
Macrophage,#566c21
Lymphocyte,#aa66d4
Monocyte,#91132c
Oligodendrocyte,#def476
OPC,#c68ae4
COP,#e3cba4
Endo,#f6390c
Pericyte,#51cd80
SMC,#ab0c8d
VLMC,#226a65
F Glut,#39e1e2
F M Glut,#66750b
M Dopa,#77f0ca
CN LAMP5-LHX6 GABA,#f48d44
CN ST18 GABA,#5fd989
STR SST-CHODL GABA,#eea495
STR SST GABA,#ed8d40
STR RSPO2 GABA,#5b0e63
CN Cholinergic GABA,#b1f081
CN LAMP5-CXCL14 GABA,#e5b672
CN VIP GABA,#1bc06a
CN LHX8 GABA,#caf28b
CN ONECUT1 GABA,#967be5
F M GATA3 GABA,#311a96
SN PAX7 GABA,#720a7d
F GABA,#7ba2df
CN MEIS2 GABA,#d8f378
STR D1 MSN,#1655f2
STR D2 MSN,#253c8c
STR Hybrid MSN,#79bdf4
OT Granular GABA,#9160cb
ACx MEIS2 GABA,#3636ed
CN GABA-Glut,#d2599a
Astrocyte,#e16c95
ImAstro,#f1c0a6
Ependymal,#c96e0a
Microglia,#cbfc1e
BAM,#195f8d
T cells,#f3b79b
B cells,#21eef1
Monocyte,#48e6b4
Oligo OPALIN,#488edc
Oligo PLEKHG1,#401e66
ImOligo,#711c24
OPC,#f5e689
COP,#922047
Endo,#361d61
Pericyte,#5713c3
SMC,#177242
VLMC,#c3ec86
STH PVALB-PITX2 Glut,#f57e20
BF SKOR1 Glut,#eb0077
VTR-HTH Glut,#54621f
SN-VTR CALB1 Dopa,#854098
SN SOX6 Dopa,#854098
SN-VTR GAD2 Dopa,#854098
LAMP5-LHX6 GABA,#00af88
STR-BF TAC3-PLPP4-LHX8 GABA,#9d3b4f
STR TAC3-PLPP4 GABA,#ffff00
STR FS PTHLH-PVALB GABA,#800000
STR SST-CHODL GABA,#708297
STR SST-ADARB2 GABA,#cfebed
STR SST-RSPO2 GABA,#7f7f7f
STR LYPD6-RSPO2 GABA,#a9f266
STRd Cholinergic GABA,#6fc7b2
STR Cholinergic GABA,#8f5ff5
GPin-BF Cholinergic GABA,#fde020
LAMP5-CXCL14 GABA,#f6b5d1
VIP GABA,#fc2b80
GPe SOX6-CTXND1 GABA,#e9dc4d
GPe-NDB-SI LHX6-LHX8-GBX1 GABA,#653614
GPi Core,#d3489a
SN GATA3-PVALB GABA,#017d7c
SN GATA3-PAX8 GABA,#ff7266
SN-VTR-HTH GATA3-TCF7L2 GABA,#1dbfcf
SN EBF2 GABA,#c8df45
SN SEMA5A GABA,#3604fb
ZI-HTH GABA,#c49c94
AMY-SLEA-BNST D1 GABA,#9e86de
AMY-SLEA-BNST GABA,#b69e14
GPe MEIS2-SOX6 GABA,#937a2e
STRd D1 Matrix MSN,#1f77b4
STRv D1 MSN,#339933
STRd D1 Striosome MSN,#d62728
STRd D2 Matrix MSN,#aec7e8
STRv D2 MSN,#98df8a
STRd D2 Striosome MSN,#ff9896
STRd D2 StrioMat Hybrid MSN,#9268ac
STRv D1 NUDAP MSN,#e377c2
STR D1D2 Hybrid MSN,#9467bd
OT D1 ICj,#ff7f0e
OB FRMD7 GABA,#cd0753
OB Dopa-GABA,#902f6b
GPi Shell,#642265
